Number,The first digit is,The second digit is,The third digit is,The first digit is ,The second digit is,The third digit is,The sum of the first and second digits is,The sum of the first and third digits is,The sum of the second and third digits is,The sum of all three digits is,The difference of the first and second digits is,The difference of the first and third digits is,The difference of the second and third digits is ,The product of the first and second digits is,The product of the first and third digits is,The product of the second and third digits is,The product of all three digits is ,The mean of the first and second digits is,The mean of the first and third digits is,The mean of the second and third digits is,The mean of all three digits is,The range of all three digits is 
537,5,3,7,a prime number,a prime number,a prime number,8,12,10,15,2,2,4,15,35,21,105,4,6,5,5,4
538,5,3,8,a prime number,a prime number,a cube number,8,13,11,16,2,3,5,15,40,24,120,4,7,6,5,5
539,5,3,9,a prime number,a prime number,a square number,8,14,12,17,2,4,6,15,45,27,135,4,7,6,6,6
540,5,4,0,a prime number,a square number,a square or a cube number,9.00,5.00,4.00,9.00,1.00,5.00,4.00,20.00,0.00,0.00,0.00,4.50,2.50,2.00,3.00,5.00
541,5,4,1,a prime number,a square number,a square or a cube number,9.00,6.00,5.00,10.00,1.00,4.00,3.00,20.00,5.00,4.00,20.00,4.50,3.00,2.50,3.33,4.00
542,5,4,2,a prime number,a square number,a prime number,9.00,7.00,6.00,11.00,1.00,3.00,2.00,20.00,10.00,8.00,40.00,4.50,3.50,3.00,3.67,3.00
543,5,4,3,a prime number,a square number,a prime number,9.00,8.00,7.00,12.00,1.00,2.00,1.00,20.00,15.00,12.00,60.00,4.50,4.00,3.50,4.00,2.00
544,5,4,4,a prime number,a square number,a square number,9.00,9.00,8.00,13.00,1.00,1.00,0.00,20.00,20.00,16.00,80.00,4.50,4.50,4.00,4.33,1.00
545,5,4,5,a prime number,a square number,a prime number,9.00,10.00,9.00,14.00,1.00,0.00,1.00,20.00,25.00,20.00,100.00,4.50,5.00,4.50,4.67,1.00
546,5,4,6,a prime number,a square number,a triangular number,9.00,11.00,10.00,15.00,1.00,1.00,2.00,20.00,30.00,24.00,120.00,4.50,5.50,5.00,5.00,2.00
547,5,4,7,a prime number,a square number,a prime number,9.00,12.00,11.00,16.00,1.00,2.00,3.00,20.00,35.00,28.00,140.00,4.50,6.00,5.50,5.33,3.00
548,5,4,8,a prime number,a square number,a cube number,9.00,13.00,12.00,17.00,1.00,3.00,4.00,20.00,40.00,32.00,160.00,4.50,6.50,6.00,5.67,4.00
549,5,4,9,a prime number,a square number,a square number,9.00,14.00,13.00,18.00,1.00,4.00,5.00,20.00,45.00,36.00,180.00,4.50,7.00,6.50,6.00,5.00
550,5,5,0,a prime number,a prime number,a square or a cube number,10,5,5,10,0,5,5,25,0,0,0,5,3,3,3,5
551,5,5,1,a prime number,a prime number,a square or a cube number,10,6,6,11,0,4,4,25,5,5,25,5,3,3,4,4
552,5,5,2,a prime number,a prime number,a prime number,10,7,7,12,0,3,3,25,10,10,50,5,4,4,4,3
553,5,5,3,a prime number,a prime number,a prime number,10,8,8,13,0,2,2,25,15,15,75,5,4,4,4,2
554,5,5,4,a prime number,a prime number,a square number,10,9,9,14,0,1,1,25,20,20,100,5,5,5,5,1
555,5,5,5,a prime number,a prime number,a prime number,10,10,10,15,0,0,0,25,25,25,125,5,5,5,5,0
556,5,5,6,a prime number,a prime number,a triangular number,10,11,11,16,0,1,1,25,30,30,150,5,6,6,5,1
557,5,5,7,a prime number,a prime number,a prime number,10,12,12,17,0,2,2,25,35,35,175,5,6,6,6,2
558,5,5,8,a prime number,a prime number,a cube number,10,13,13,18,0,3,3,25,40,40,200,5,7,7,6,3
559,5,5,9,a prime number,a prime number,a square number,10,14,14,19,0,4,4,25,45,45,225,5,7,7,6,4
560,5,6,0,a prime number,a triangular number,a square or a cube number,11,5,6,11,1,5,6,30,0,0,0,6,3,3,4,6
561,5,6,1,a prime number,a triangular number,a square or a cube number,11,6,7,12,1,4,5,30,5,6,30,6,3,4,4,5
562,5,6,2,a prime number,a triangular number,a prime number,11,7,8,13,1,3,4,30,10,12,60,6,4,4,4,4
563,5,6,3,a prime number,a triangular number,a prime number,11,8,9,14,1,2,3,30,15,18,90,6,4,5,5,3
564,5,6,4,a prime number,a triangular number,a square number,11,9,10,15,1,1,2,30,20,24,120,6,5,5,5,2
565,5,6,5,a prime number,a triangular number,a prime number,11,10,11,16,1,0,1,30,25,30,150,6,5,6,5,1
566,5,6,6,a prime number,a triangular number,a triangular number,11,11,12,17,1,1,0,30,30,36,180,6,6,6,6,1
567,5,6,7,a prime number,a triangular number,a prime number,11,12,13,18,1,2,1,30,35,42,210,6,6,7,6,2
568,5,6,8,a prime number,a triangular number,a cube number,11,13,14,19,1,3,2,30,40,48,240,6,7,7,6,3
569,5,6,9,a prime number,a triangular number,a square number,11,14,15,20,1,4,3,30,45,54,270,6,7,8,7,4
570,5,7,0,a prime number,a prime number,a square or a cube number,12,5,7,12,2,5,7,35,0,0,0,6,3,4,4,7
571,5,7,1,a prime number,a prime number,a square or a cube number,12,6,8,13,2,4,6,35,5,7,35,6,3,4,4,6
572,5,7,2,a prime number,a prime number,a prime number,12,7,9,14,2,3,5,35,10,14,70,6,4,5,5,5
573,5,7,3,a prime number,a prime number,a prime number,12,8,10,15,2,2,4,35,15,21,105,6,4,5,5,4
574,5,7,4,a prime number,a prime number,a square number,12,9,11,16,2,1,3,35,20,28,140,6,5,6,5,3
575,5,7,5,a prime number,a prime number,a prime number,12,10,12,17,2,0,2,35,25,35,175,6,5,6,6,2
576,5,7,6,a prime number,a prime number,a triangular number,12,11,13,18,2,1,1,35,30,42,210,6,6,7,6,2
577,5,7,7,a prime number,a prime number,a prime number,12,12,14,19,2,2,0,35,35,49,245,6,6,7,6,2
578,5,7,8,a prime number,a prime number,a cube number,12,13,15,20,2,3,1,35,40,56,280,6,7,8,7,3
579,5,7,9,a prime number,a prime number,a square number,12,14,16,21,2,4,2,35,45,63,315,6,7,8,7,4
580,5,8,0,a prime number,a cube number,a square or a cube number,13,5,8,13,3,5,8,40,0,0,0,7,3,4,4,8
581,5,8,1,a prime number,a cube number,a square or a cube number,13,6,9,14,3,4,7,40,5,8,40,7,3,5,5,7
582,5,8,2,a prime number,a cube number,a prime number,13,7,10,15,3,3,6,40,10,16,80,7,4,5,5,6
583,5,8,3,a prime number,a cube number,a prime number,13,8,11,16,3,2,5,40,15,24,120,7,4,6,5,5
584,5,8,4,a prime number,a cube number,a square number,13,9,12,17,3,1,4,40,20,32,160,7,5,6,6,4
585,5,8,5,a prime number,a cube number,a prime number,13,10,13,18,3,0,3,40,25,40,200,7,5,7,6,3
586,5,8,6,a prime number,a cube number,a triangular number,13,11,14,19,3,1,2,40,30,48,240,7,6,7,6,3
587,5,8,7,a prime number,a cube number,a prime number,13,12,15,20,3,2,1,40,35,56,280,7,6,8,7,3
588,5,8,8,a prime number,a cube number,a cube number,13,13,16,21,3,3,0,40,40,64,320,7,7,8,7,3
589,5,8,9,a prime number,a cube number,a square number,13,14,17,22,3,4,1,40,45,72,360,7,7,9,7,4
590,5,9,0,a prime number,a square number,a square or a cube number,14.00,5.00,9.00,14.00,4.00,5.00,9.00,45.00,0.00,0.00,0.00,7.00,2.50,4.50,4.67,9.00
591,5,9,1,a prime number,a square number,a square or a cube number,14.00,6.00,10.00,15.00,4.00,4.00,8.00,45.00,5.00,9.00,45.00,7.00,3.00,5.00,5.00,8.00
592,5,9,2,a prime number,a square number,a prime number,14.00,7.00,11.00,16.00,4.00,3.00,7.00,45.00,10.00,18.00,90.00,7.00,3.50,5.50,5.33,7.00
593,5,9,3,a prime number,a square number,a prime number,14.00,8.00,12.00,17.00,4.00,2.00,6.00,45.00,15.00,27.00,135.00,7.00,4.00,6.00,5.67,6.00
594,5,9,4,a prime number,a square number,a square number,14.00,9.00,13.00,18.00,4.00,1.00,5.00,45.00,20.00,36.00,180.00,7.00,4.50,6.50,6.00,5.00
595,5,9,5,a prime number,a square number,a prime number,14.00,10.00,14.00,19.00,4.00,0.00,4.00,45.00,25.00,45.00,225.00,7.00,5.00,7.00,6.33,4.00
596,5,9,6,a prime number,a square number,a triangular number,14.00,11.00,15.00,20.00,4.00,1.00,3.00,45.00,30.00,54.00,270.00,7.00,5.50,7.50,6.67,4.00
597,5,9,7,a prime number,a square number,a prime number,14.00,12.00,16.00,21.00,4.00,2.00,2.00,45.00,35.00,63.00,315.00,7.00,6.00,8.00,7.00,4.00
598,5,9,8,a prime number,a square number,a cube number,14.00,13.00,17.00,22.00,4.00,3.00,1.00,45.00,40.00,72.00,360.00,7.00,6.50,8.50,7.33,4.00
599,5,9,9,a prime number,a square number,a square number,14.00,14.00,18.00,23.00,4.00,4.00,0.00,45.00,45.00,81.00,405.00,7.00,7.00,9.00,7.67,4.00
600,6,0,0,a triangular number,a square or a cube number,a square or a cube number,6,6,0,6,6,6,0,0,0,0,0,3,3,0,2,6
601,6,0,1,a triangular number,a square or a cube number,a square or a cube number,6,7,1,7,6,5,1,0,6,0,0,3,4,1,2,6
602,6,0,2,a triangular number,a square or a cube number,a prime number,6,8,2,8,6,4,2,0,12,0,0,3,4,1,3,6
603,6,0,3,a triangular number,a square or a cube number,a prime number,6,9,3,9,6,3,3,0,18,0,0,3,5,2,3,6
604,6,0,4,a triangular number,a square or a cube number,a square number,6,10,4,10,6,2,4,0,24,0,0,3,5,2,3,6
605,6,0,5,a triangular number,a square or a cube number,a prime number,6,11,5,11,6,1,5,0,30,0,0,3,6,3,4,6
606,6,0,6,a triangular number,a square or a cube number,a triangular number,6,12,6,12,6,0,6,0,36,0,0,3,6,3,4,6
607,6,0,7,a triangular number,a square or a cube number,a prime number,6,13,7,13,6,1,7,0,42,0,0,3,7,4,4,7
608,6,0,8,a triangular number,a square or a cube number,a cube number,6,14,8,14,6,2,8,0,48,0,0,3,7,4,5,8
609,6,0,9,a triangular number,a square or a cube number,a square number,6,15,9,15,6,3,9,0,54,0,0,3,8,5,5,9
610,6,1,0,a triangular number,a square or a cube number,a square or a cube number,7,6,1,7,5,6,1,6,0,0,0,4,3,1,2,6
611,6,1,1,a triangular number,a square or a cube number,a square or a cube number,7,7,2,8,5,5,0,6,6,1,6,4,4,1,3,5
612,6,1,2,a triangular number,a square or a cube number,a prime number,7,8,3,9,5,4,1,6,12,2,12,4,4,2,3,5
613,6,1,3,a triangular number,a square or a cube number,a prime number,7,9,4,10,5,3,2,6,18,3,18,4,5,2,3,5
614,6,1,4,a triangular number,a square or a cube number,a square number,7,10,5,11,5,2,3,6,24,4,24,4,5,3,4,5
615,6,1,5,a triangular number,a square or a cube number,a prime number,7,11,6,12,5,1,4,6,30,5,30,4,6,3,4,5
616,6,1,6,a triangular number,a square or a cube number,a triangular number,7,12,7,13,5,0,5,6,36,6,36,4,6,4,4,5
617,6,1,7,a triangular number,a square or a cube number,a prime number,7,13,8,14,5,1,6,6,42,7,42,4,7,4,5,6
618,6,1,8,a triangular number,a square or a cube number,a cube number,7,14,9,15,5,2,7,6,48,8,48,4,7,5,5,7
619,6,1,9,a triangular number,a square or a cube number,a square number,7,15,10,16,5,3,8,6,54,9,54,4,8,5,5,8
620,6,2,0,a triangular number,a prime number,a square or a cube number,8,6,2,8,4,6,2,12,0,0,0,4,3,1,3,6
621,6,2,1,a triangular number,a prime number,a square or a cube number,8,7,3,9,4,5,1,12,6,2,12,4,4,2,3,5
622,6,2,2,a triangular number,a prime number,a prime number,8,8,4,10,4,4,0,12,12,4,24,4,4,2,3,4
623,6,2,3,a triangular number,a prime number,a prime number,8,9,5,11,4,3,1,12,18,6,36,4,5,3,4,4
624,6,2,4,a triangular number,a prime number,a square number,8,10,6,12,4,2,2,12,24,8,48,4,5,3,4,4
625,6,2,5,a triangular number,a prime number,a prime number,8,11,7,13,4,1,3,12,30,10,60,4,6,4,4,4
626,6,2,6,a triangular number,a prime number,a triangular number,8,12,8,14,4,0,4,12,36,12,72,4,6,4,5,4
627,6,2,7,a triangular number,a prime number,a prime number,8,13,9,15,4,1,5,12,42,14,84,4,7,5,5,5
628,6,2,8,a triangular number,a prime number,a cube number,8,14,10,16,4,2,6,12,48,16,96,4,7,5,5,6
629,6,2,9,a triangular number,a prime number,a square number,8,15,11,17,4,3,7,12,54,18,108,4,8,6,6,7
630,6,3,0,a triangular number,a prime number,a square or a cube number,9,6,3,9,3,6,3,18,0,0,0,5,3,2,3,6
631,6,3,1,a triangular number,a prime number,a square or a cube number,9,7,4,10,3,5,2,18,6,3,18,5,4,2,3,5
632,6,3,2,a triangular number,a prime number,a prime number,9,8,5,11,3,4,1,18,12,6,36,5,4,3,4,4
633,6,3,3,a triangular number,a prime number,a prime number,9,9,6,12,3,3,0,18,18,9,54,5,5,3,4,3
634,6,3,4,a triangular number,a prime number,a square number,9,10,7,13,3,2,1,18,24,12,72,5,5,4,4,3
635,6,3,5,a triangular number,a prime number,a prime number,9,11,8,14,3,1,2,18,30,15,90,5,6,4,5,3
636,6,3,6,a triangular number,a prime number,a triangular number,9,12,9,15,3,0,3,18,36,18,108,5,6,5,5,3
637,6,3,7,a triangular number,a prime number,a prime number,9,13,10,16,3,1,4,18,42,21,126,5,7,5,5,4
638,6,3,8,a triangular number,a prime number,a cube number,9,14,11,17,3,2,5,18,48,24,144,5,7,6,6,5
639,6,3,9,a triangular number,a prime number,a square number,9,15,12,18,3,3,6,18,54,27,162,5,8,6,6,6
640,6,4,0,a triangular number,a square number,a square or a cube number,10.00,6.00,4.00,10.00,2.00,6.00,4.00,24.00,0.00,0.00,0.00,5.00,3.00,2.00,3.33,6.00
641,6,4,1,a triangular number,a square number,a square or a cube number,10.00,7.00,5.00,11.00,2.00,5.00,3.00,24.00,6.00,4.00,24.00,5.00,3.50,2.50,3.67,5.00
642,6,4,2,a triangular number,a square number,a prime number,10.00,8.00,6.00,12.00,2.00,4.00,2.00,24.00,12.00,8.00,48.00,5.00,4.00,3.00,4.00,4.00
643,6,4,3,a triangular number,a square number,a prime number,10.00,9.00,7.00,13.00,2.00,3.00,1.00,24.00,18.00,12.00,72.00,5.00,4.50,3.50,4.33,3.00
644,6,4,4,a triangular number,a square number,a square number,10.00,10.00,8.00,14.00,2.00,2.00,0.00,24.00,24.00,16.00,96.00,5.00,5.00,4.00,4.67,2.00
645,6,4,5,a triangular number,a square number,a prime number,10.00,11.00,9.00,15.00,2.00,1.00,1.00,24.00,30.00,20.00,120.00,5.00,5.50,4.50,5.00,2.00
646,6,4,6,a triangular number,a square number,a triangular number,10.00,12.00,10.00,16.00,2.00,0.00,2.00,24.00,36.00,24.00,144.00,5.00,6.00,5.00,5.33,2.00
647,6,4,7,a triangular number,a square number,a prime number,10.00,13.00,11.00,17.00,2.00,1.00,3.00,24.00,42.00,28.00,168.00,5.00,6.50,5.50,5.67,3.00
648,6,4,8,a triangular number,a square number,a cube number,10.00,14.00,12.00,18.00,2.00,2.00,4.00,24.00,48.00,32.00,192.00,5.00,7.00,6.00,6.00,4.00
649,6,4,9,a triangular number,a square number,a square number,10.00,15.00,13.00,19.00,2.00,3.00,5.00,24.00,54.00,36.00,216.00,5.00,7.50,6.50,6.33,5.00
650,6,5,0,a triangular number,a prime number,a square or a cube number,11,6,5,11,1,6,5,30,0,0,0,6,3,3,4,6
651,6,5,1,a triangular number,a prime number,a square or a cube number,11,7,6,12,1,5,4,30,6,5,30,6,4,3,4,5
652,6,5,2,a triangular number,a prime number,a prime number,11,8,7,13,1,4,3,30,12,10,60,6,4,4,4,4
653,6,5,3,a triangular number,a prime number,a prime number,11,9,8,14,1,3,2,30,18,15,90,6,5,4,5,3
654,6,5,4,a triangular number,a prime number,a square number,11,10,9,15,1,2,1,30,24,20,120,6,5,5,5,2
655,6,5,5,a triangular number,a prime number,a prime number,11,11,10,16,1,1,0,30,30,25,150,6,6,5,5,1
656,6,5,6,a triangular number,a prime number,a triangular number,11,12,11,17,1,0,1,30,36,30,180,6,6,6,6,1
657,6,5,7,a triangular number,a prime number,a prime number,11,13,12,18,1,1,2,30,42,35,210,6,7,6,6,2
658,6,5,8,a triangular number,a prime number,a cube number,11,14,13,19,1,2,3,30,48,40,240,6,7,7,6,3
659,6,5,9,a triangular number,a prime number,a square number,11,15,14,20,1,3,4,30,54,45,270,6,8,7,7,4
660,6,6,0,a triangular number,a triangular number,a square or a cube number,12,6,6,12,0,6,6,36,0,0,0,6,3,3,4,6
661,6,6,1,a triangular number,a triangular number,a square or a cube number,12,7,7,13,0,5,5,36,6,6,36,6,4,4,4,5
662,6,6,2,a triangular number,a triangular number,a prime number,12,8,8,14,0,4,4,36,12,12,72,6,4,4,5,4
663,6,6,3,a triangular number,a triangular number,a prime number,12,9,9,15,0,3,3,36,18,18,108,6,5,5,5,3
664,6,6,4,a triangular number,a triangular number,a square number,12,10,10,16,0,2,2,36,24,24,144,6,5,5,5,2
665,6,6,5,a triangular number,a triangular number,a prime number,12,11,11,17,0,1,1,36,30,30,180,6,6,6,6,1
666,6,6,6,a triangular number,a triangular number,a triangular number,12,12,12,18,0,0,0,36,36,36,216,6,6,6,6,0
667,6,6,7,a triangular number,a triangular number,a prime number,12,13,13,19,0,1,1,36,42,42,252,6,7,7,6,1
668,6,6,8,a triangular number,a triangular number,a cube number,12,14,14,20,0,2,2,36,48,48,288,6,7,7,7,2
669,6,6,9,a triangular number,a triangular number,a square number,12,15,15,21,0,3,3,36,54,54,324,6,8,8,7,3
670,6,7,0,a triangular number,a prime number,a square or a cube number,13,6,7,13,1,6,7,42,0,0,0,7,3,4,4,7
671,6,7,1,a triangular number,a prime number,a square or a cube number,13,7,8,14,1,5,6,42,6,7,42,7,4,4,5,6
672,6,7,2,a triangular number,a prime number,a prime number,13,8,9,15,1,4,5,42,12,14,84,7,4,5,5,5
673,6,7,3,a triangular number,a prime number,a prime number,13,9,10,16,1,3,4,42,18,21,126,7,5,5,5,4
674,6,7,4,a triangular number,a prime number,a square number,13,10,11,17,1,2,3,42,24,28,168,7,5,6,6,3
675,6,7,5,a triangular number,a prime number,a prime number,13,11,12,18,1,1,2,42,30,35,210,7,6,6,6,2
676,6,7,6,a triangular number,a prime number,a triangular number,13,12,13,19,1,0,1,42,36,42,252,7,6,7,6,1
677,6,7,7,a triangular number,a prime number,a prime number,13,13,14,20,1,1,0,42,42,49,294,7,7,7,7,1
678,6,7,8,a triangular number,a prime number,a cube number,13,14,15,21,1,2,1,42,48,56,336,7,7,8,7,2
679,6,7,9,a triangular number,a prime number,a square number,13,15,16,22,1,3,2,42,54,63,378,7,8,8,7,3
680,6,8,0,a triangular number,a cube number,a square or a cube number,14,6,8,14,2,6,8,48,0,0,0,7,3,4,5,8
681,6,8,1,a triangular number,a cube number,a square or a cube number,14,7,9,15,2,5,7,48,6,8,48,7,4,5,5,7
682,6,8,2,a triangular number,a cube number,a prime number,14,8,10,16,2,4,6,48,12,16,96,7,4,5,5,6
683,6,8,3,a triangular number,a cube number,a prime number,14,9,11,17,2,3,5,48,18,24,144,7,5,6,6,5
684,6,8,4,a triangular number,a cube number,a square number,14,10,12,18,2,2,4,48,24,32,192,7,5,6,6,4
685,6,8,5,a triangular number,a cube number,a prime number,14,11,13,19,2,1,3,48,30,40,240,7,6,7,6,3
686,6,8,6,a triangular number,a cube number,a triangular number,14,12,14,20,2,0,2,48,36,48,288,7,6,7,7,2
687,6,8,7,a triangular number,a cube number,a prime number,14,13,15,21,2,1,1,48,42,56,336,7,7,8,7,2
688,6,8,8,a triangular number,a cube number,a cube number,14,14,16,22,2,2,0,48,48,64,384,7,7,8,7,2
689,6,8,9,a triangular number,a cube number,a square number,14,15,17,23,2,3,1,48,54,72,432,7,8,9,8,3
690,6,9,0,a triangular number,a square number,a square or a cube number,15.00,6.00,9.00,15.00,3.00,6.00,9.00,54.00,0.00,0.00,0.00,7.50,3.00,4.50,5.00,9.00
691,6,9,1,a triangular number,a square number,a square or a cube number,15.00,7.00,10.00,16.00,3.00,5.00,8.00,54.00,6.00,9.00,54.00,7.50,3.50,5.00,5.33,8.00
692,6,9,2,a triangular number,a square number,a prime number,15.00,8.00,11.00,17.00,3.00,4.00,7.00,54.00,12.00,18.00,108.00,7.50,4.00,5.50,5.67,7.00
693,6,9,3,a triangular number,a square number,a prime number,15.00,9.00,12.00,18.00,3.00,3.00,6.00,54.00,18.00,27.00,162.00,7.50,4.50,6.00,6.00,6.00
694,6,9,4,a triangular number,a square number,a square number,15.00,10.00,13.00,19.00,3.00,2.00,5.00,54.00,24.00,36.00,216.00,7.50,5.00,6.50,6.33,5.00
695,6,9,5,a triangular number,a square number,a prime number,15.00,11.00,14.00,20.00,3.00,1.00,4.00,54.00,30.00,45.00,270.00,7.50,5.50,7.00,6.67,4.00
696,6,9,6,a triangular number,a square number,a triangular number,15.00,12.00,15.00,21.00,3.00,0.00,3.00,54.00,36.00,54.00,324.00,7.50,6.00,7.50,7.00,3.00
697,6,9,7,a triangular number,a square number,a prime number,15.00,13.00,16.00,22.00,3.00,1.00,2.00,54.00,42.00,63.00,378.00,7.50,6.50,8.00,7.33,3.00
698,6,9,8,a triangular number,a square number,a cube number,15.00,14.00,17.00,23.00,3.00,2.00,1.00,54.00,48.00,72.00,432.00,7.50,7.00,8.50,7.67,3.00
699,6,9,9,a triangular number,a square number,a square number,15.00,15.00,18.00,24.00,3.00,3.00,0.00,54.00,54.00,81.00,486.00,7.50,7.50,9.00,8.00,3.00
700,7,0,0,a prime number,a square or a cube number,a square or a cube number,7,7,0,7,7,7,0,0,0,0,0,4,4,0,2,7
701,7,0,1,a prime number,a square or a cube number,a square or a cube number,7,8,1,8,7,6,1,0,7,0,0,4,4,1,3,7
702,7,0,2,a prime number,a square or a cube number,a prime number,7,9,2,9,7,5,2,0,14,0,0,4,5,1,3,7
703,7,0,3,a prime number,a square or a cube number,a prime number,7,10,3,10,7,4,3,0,21,0,0,4,5,2,3,7
704,7,0,4,a prime number,a square or a cube number,a square number,7,11,4,11,7,3,4,0,28,0,0,4,6,2,4,7
705,7,0,5,a prime number,a square or a cube number,a prime number,7,12,5,12,7,2,5,0,35,0,0,4,6,3,4,7
706,7,0,6,a prime number,a square or a cube number,a triangular number,7,13,6,13,7,1,6,0,42,0,0,4,7,3,4,7
707,7,0,7,a prime number,a square or a cube number,a prime number,7,14,7,14,7,0,7,0,49,0,0,4,7,4,5,7
708,7,0,8,a prime number,a square or a cube number,a cube number,7,15,8,15,7,1,8,0,56,0,0,4,8,4,5,8
709,7,0,9,a prime number,a square or a cube number,a square number,7,16,9,16,7,2,9,0,63,0,0,4,8,5,5,9
710,7,1,0,a prime number,a square or a cube number,a square or a cube number,8,7,1,8,6,7,1,7,0,0,0,4,4,1,3,7
711,7,1,1,a prime number,a square or a cube number,a square or a cube number,8,8,2,9,6,6,0,7,7,1,7,4,4,1,3,6
712,7,1,2,a prime number,a square or a cube number,a prime number,8,9,3,10,6,5,1,7,14,2,14,4,5,2,3,6
713,7,1,3,a prime number,a square or a cube number,a prime number,8,10,4,11,6,4,2,7,21,3,21,4,5,2,4,6
714,7,1,4,a prime number,a square or a cube number,a square number,8,11,5,12,6,3,3,7,28,4,28,4,6,3,4,6
715,7,1,5,a prime number,a square or a cube number,a prime number,8,12,6,13,6,2,4,7,35,5,35,4,6,3,4,6
716,7,1,6,a prime number,a square or a cube number,a triangular number,8,13,7,14,6,1,5,7,42,6,42,4,7,4,5,6
717,7,1,7,a prime number,a square or a cube number,a prime number,8,14,8,15,6,0,6,7,49,7,49,4,7,4,5,6
718,7,1,8,a prime number,a square or a cube number,a cube number,8,15,9,16,6,1,7,7,56,8,56,4,8,5,5,7
719,7,1,9,a prime number,a square or a cube number,a square number,8,16,10,17,6,2,8,7,63,9,63,4,8,5,6,8
720,7,2,0,a prime number,a prime number,a square or a cube number,9,7,2,9,5,7,2,14,0,0,0,5,4,1,3,7
721,7,2,1,a prime number,a prime number,a square or a cube number,9,8,3,10,5,6,1,14,7,2,14,5,4,2,3,6
722,7,2,2,a prime number,a prime number,a prime number,9,9,4,11,5,5,0,14,14,4,28,5,5,2,4,5
723,7,2,3,a prime number,a prime number,a prime number,9,10,5,12,5,4,1,14,21,6,42,5,5,3,4,5
724,7,2,4,a prime number,a prime number,a square number,9,11,6,13,5,3,2,14,28,8,56,5,6,3,4,5
725,7,2,5,a prime number,a prime number,a prime number,9,12,7,14,5,2,3,14,35,10,70,5,6,4,5,5
726,7,2,6,a prime number,a prime number,a triangular number,9,13,8,15,5,1,4,14,42,12,84,5,7,4,5,5
727,7,2,7,a prime number,a prime number,a prime number,9,14,9,16,5,0,5,14,49,14,98,5,7,5,5,5
728,7,2,8,a prime number,a prime number,a cube number,9,15,10,17,5,1,6,14,56,16,112,5,8,5,6,6
729,7,2,9,a prime number,a prime number,a square number,9,16,11,18,5,2,7,14,63,18,126,5,8,6,6,7
730,7,3,0,a prime number,a prime number,a square or a cube number,10,7,3,10,4,7,3,21,0,0,0,5,4,2,3,7
731,7,3,1,a prime number,a prime number,a square or a cube number,10,8,4,11,4,6,2,21,7,3,21,5,4,2,4,6
732,7,3,2,a prime number,a prime number,a prime number,10,9,5,12,4,5,1,21,14,6,42,5,5,3,4,5
733,7,3,3,a prime number,a prime number,a prime number,10,10,6,13,4,4,0,21,21,9,63,5,5,3,4,4
734,7,3,4,a prime number,a prime number,a square number,10,11,7,14,4,3,1,21,28,12,84,5,6,4,5,4
735,7,3,5,a prime number,a prime number,a prime number,10,12,8,15,4,2,2,21,35,15,105,5,6,4,5,4
736,7,3,6,a prime number,a prime number,a triangular number,10,13,9,16,4,1,3,21,42,18,126,5,7,5,5,4
737,7,3,7,a prime number,a prime number,a prime number,10,14,10,17,4,0,4,21,49,21,147,5,7,5,6,4
738,7,3,8,a prime number,a prime number,a cube number,10,15,11,18,4,1,5,21,56,24,168,5,8,6,6,5
739,7,3,9,a prime number,a prime number,a square number,10,16,12,19,4,2,6,21,63,27,189,5,8,6,6,6
740,7,4,0,a prime number,a square number,a square or a cube number,11.00,7.00,4.00,11.00,3.00,7.00,4.00,28.00,0.00,0.00,0.00,5.50,3.50,2.00,3.67,7.00
741,7,4,1,a prime number,a square number,a square or a cube number,11.00,8.00,5.00,12.00,3.00,6.00,3.00,28.00,7.00,4.00,28.00,5.50,4.00,2.50,4.00,6.00
742,7,4,2,a prime number,a square number,a prime number,11.00,9.00,6.00,13.00,3.00,5.00,2.00,28.00,14.00,8.00,56.00,5.50,4.50,3.00,4.33,5.00
743,7,4,3,a prime number,a square number,a prime number,11.00,10.00,7.00,14.00,3.00,4.00,1.00,28.00,21.00,12.00,84.00,5.50,5.00,3.50,4.67,4.00
744,7,4,4,a prime number,a square number,a square number,11.00,11.00,8.00,15.00,3.00,3.00,0.00,28.00,28.00,16.00,112.00,5.50,5.50,4.00,5.00,3.00
745,7,4,5,a prime number,a square number,a prime number,11.00,12.00,9.00,16.00,3.00,2.00,1.00,28.00,35.00,20.00,140.00,5.50,6.00,4.50,5.33,3.00
746,7,4,6,a prime number,a square number,a triangular number,11.00,13.00,10.00,17.00,3.00,1.00,2.00,28.00,42.00,24.00,168.00,5.50,6.50,5.00,5.67,3.00
747,7,4,7,a prime number,a square number,a prime number,11.00,14.00,11.00,18.00,3.00,0.00,3.00,28.00,49.00,28.00,196.00,5.50,7.00,5.50,6.00,3.00
748,7,4,8,a prime number,a square number,a cube number,11.00,15.00,12.00,19.00,3.00,1.00,4.00,28.00,56.00,32.00,224.00,5.50,7.50,6.00,6.33,4.00
749,7,4,9,a prime number,a square number,a square number,11.00,16.00,13.00,20.00,3.00,2.00,5.00,28.00,63.00,36.00,252.00,5.50,8.00,6.50,6.67,5.00
750,7,5,0,a prime number,a prime number,a square or a cube number,12,7,5,12,2,7,5,35,0,0,0,6,4,3,4,7
751,7,5,1,a prime number,a prime number,a square or a cube number,12,8,6,13,2,6,4,35,7,5,35,6,4,3,4,6
